Lat	Lon	
-43.400000	172.160000	
-43.400000	172.165000	
-43.400000	172.170000	
-43.400000	172.175000	
-43.400000	172.180000	
-43.400000	172.185000	
-43.400000	172.190000	
-43.400000	172.195000	
-43.400000	172.200000	
-43.400000	172.205000	
-43.400000	172.210000	
-43.400000	172.215000	
-43.400000	172.220000	
-43.400000	172.225000	
-43.400000	172.230000	
-43.400000	172.235000	
-43.400000	172.240000	
-43.400000	172.245000	
-43.400000	172.250000	
-43.400000	172.255000	
-43.400000	172.260000	
-43.400000	172.265000	
-43.400000	172.270000	
-43.400000	172.275000	
-43.400000	172.280000	
-43.400000	172.285000	
-43.400000	172.290000	
-43.400000	172.295000	
-43.400000	172.300000	
-43.400000	172.305000	
-43.400000	172.310000	
-43.400000	172.315000	
-43.400000	172.320000	
-43.400000	172.325000	
-43.400000	172.330000	
-43.400000	172.335000	
-43.400000	172.340000	
-43.400000	172.345000	
-43.400000	172.350000	
-43.400000	172.355000	
-43.400000	172.360000	
-43.400000	172.365000	
-43.400000	172.370000	
-43.400000	172.375000	
-43.400000	172.380000	
-43.400000	172.385000	
-43.400000	172.390000	
-43.400000	172.395000	
-43.400000	172.400000	
-43.400000	172.405000	
-43.400000	172.410000	
-43.400000	172.415000	
-43.400000	172.420000	
-43.400000	172.425000	
-43.400000	172.430000	
-43.400000	172.435000	
-43.400000	172.440000	
-43.400000	172.445000	
-43.400000	172.450000	
-43.400000	172.455000	
-43.400000	172.460000	
-43.400000	172.465000	
-43.400000	172.470000	
-43.400000	172.475000	
-43.400000	172.480000	
-43.400000	172.485000	
-43.400000	172.490000	
-43.400000	172.495000	
-43.400000	172.500000	
-43.400000	172.505000	
-43.400000	172.510000	
-43.400000	172.515000	
-43.400000	172.520000	
-43.400000	172.525000	
-43.400000	172.530000	
-43.400000	172.535000	
-43.400000	172.540000	
-43.400000	172.545000	
-43.400000	172.550000	
-43.400000	172.555000	
-43.400000	172.560000	
-43.400000	172.565000	
-43.400000	172.570000	
-43.400000	172.575000	
-43.400000	172.580000	
-43.400000	172.585000	
-43.400000	172.590000	
-43.400000	172.595000	
-43.400000	172.600000	
-43.400000	172.605000	
-43.400000	172.610000	
-43.400000	172.615000	
-43.400000	172.620000	
-43.400000	172.625000	
-43.400000	172.630000	
-43.400000	172.635000	
-43.400000	172.640000	
